v1	V(n001)	V(n002)	I(D)
-6.790000000000068e+00	-3.074423e-08	-1.347752e+01	-1.348751e-11
-6.780000000000069e+00	-3.073954e-08	-1.347751e+01	-1.348751e-11
-6.770000000000069e+00	-3.073485e-08	-1.347751e+01	-1.348751e-11
-6.760000000000069e+00	-3.073016e-08	-1.347751e+01	-1.348751e-11
-6.750000000000069e+00	-3.072547e-08	-1.347751e+01	-1.348751e-11
-6.740000000000069e+00	-3.072078e-08	-1.347751e+01	-1.348751e-11
-6.730000000000070e+00	-3.071608e-08	-1.347751e+01	-1.348751e-11
-6.720000000000070e+00	-3.071139e-08	-1.347751e+01	-1.348751e-11
-6.710000000000070e+00	-3.070670e-08	-1.347751e+01	-1.348751e-11
-6.700000000000070e+00	-3.070201e-08	-1.347750e+01	-1.348750e-11
-6.690000000000071e+00	-3.069732e-08	-1.347750e+01	-1.348750e-11
-6.680000000000071e+00	-3.069263e-08	-1.347750e+01	-1.348750e-11
-6.670000000000071e+00	-3.068794e-08	-1.347750e+01	-1.348750e-11
-6.660000000000071e+00	-3.068325e-08	-1.347750e+01	-1.348750e-11
-6.650000000000071e+00	-3.067856e-08	-1.347750e+01	-1.348750e-11
-6.640000000000072e+00	-3.067387e-08	-1.347750e+01	-1.348750e-11
-6.630000000000072e+00	-3.066918e-08	-1.347750e+01	-1.348749e-11
-6.620000000000072e+00	-3.066449e-08	-1.347749e+01	-1.348749e-11
-6.610000000000072e+00	-3.065979e-08	-1.347749e+01	-1.348749e-11
-6.600000000000072e+00	-3.065511e-08	-1.347749e+01	-1.348749e-11
-6.590000000000073e+00	-3.065041e-08	-1.347749e+01	-1.348749e-11
-6.580000000000073e+00	-3.064572e-08	-1.347749e+01	-1.348749e-11
-6.570000000000073e+00	-3.064103e-08	-1.347749e+01	-1.348749e-11
-6.560000000000073e+00	-3.063634e-08	-1.347749e+01	-1.348749e-11
-6.550000000000074e+00	-3.063165e-08	-1.347749e+01	-1.348749e-11
-6.540000000000074e+00	-3.062696e-08	-1.347748e+01	-1.348748e-11
-6.530000000000074e+00	-3.062227e-08	-1.347748e+01	-1.348748e-11
-6.520000000000074e+00	-3.061758e-08	-1.347748e+01	-1.348748e-11
-6.510000000000074e+00	-3.061289e-08	-1.347748e+01	-1.348748e-11
-6.500000000000075e+00	-3.060820e-08	-1.347748e+01	-1.348748e-11
-6.490000000000075e+00	-3.060351e-08	-1.347748e+01	-1.348748e-11
-6.480000000000075e+00	-3.059882e-08	-1.347748e+01	-1.348748e-11
-6.470000000000075e+00	-3.059412e-08	-1.347748e+01	-1.348748e-11
-6.460000000000075e+00	-3.058943e-08	-1.347747e+01	-1.348747e-11
